roster_id,team,manager,player_id,player,position,nfl_team,age,status,dynasty_value,redraft_value,overall_rank,trend_30_day
7,Gridiron geezers,kong58,5872,Deebo Samuel,WR,SF,30.6,starter,1211,556,181,358
7,Gridiron geezers,kong58,5001,Dalton Schultz,TE,HOU,30.1,bench,806,43,214,-213
7,Gridiron geezers,kong58,2505,Darren Waller,TE,CAR,34.0,bench,616,0,241,551
7,Gridiron geezers,kong58,7090,Darnell Mooney,WR,NYG,28.8,bench,454,0,258,-200
7,Gridiron geezers,kong58,8698,Jake Tonges,TE,SF,27.1,bench,451,0,260,-67
7,Gridiron geezers,kong58,11834,Devaughn Vele,WR,NO,28.7,bench,349,0,274,145
7,Gridiron geezers,kong58,6130,Devin Singletary,RB,NYG,29.0,bench,97,0,337,-13
7,Gridiron geezers,kong58,6039,Ty Johnson,RB,BUF,28.9,bench,47,0,362,-9
7,Gridiron geezers,kong58,4177,Mack Hollins,WR,NE,32.9,bench,28,0,380,29
7,Gridiron geezers,kong58,12713,Andy Borregales,K,NE,23,starter,0,0,,0
7,Gridiron geezers,kong58,2749,Raheem Mostert,RB,,33,bench,0,0,,0
7,Gridiron geezers,kong58,2374,Tyler Lockett,WR,,33,bench,0,0,,0
7,Gridiron geezers,kong58,5987,Alexander Mattison,RB,,27,bench,0,0,,0
7,Gridiron geezers,kong58,SF,San Francisco 49ers,DEF,SF,,starter,0,0,,0
8,arkinsjt,arkinsjt,6786,CeeDee Lamb,WR,DAL,27.4,starter,6274,7445,13,112
8,arkinsjt,arkinsjt,11560,Caleb Williams,QB,CHI,24.8,starter,3834,3053,37,59
8,arkinsjt,arkinsjt,5859,A.J. Brown,WR,NE,29.2,starter,3759,5667,40,-50
8,arkinsjt,arkinsjt,6801,Tee Higgins,WR,CIN,27.6,starter,3461,4085,49,347
8,arkinsjt,arkinsjt,11584,Bucky Irving,RB,TB,24.0,starter,3429,3009,50,-12
8,arkinsjt,arkinsjt,11620,Rome Odunze,WR,CHI,24.2,starter,3173,2208,55,-35
8,arkinsjt,arkinsjt,5892,David Montgomery,RB,HOU,29.2,starter,2524,3271,76,121
8,arkinsjt,arkinsjt,9487,Parker Washington,WR,JAX,24.4,starter,2440,1552,78,511
8,arkinsjt,arkinsjt,10232,Michael Wilson,WR,ARI,26.5,bench,2018,1325,92,172
8,arkinsjt,arkinsjt,13288,Nicholas Singleton,RB,TEN,22.6,drafted,1652,0,126,-41
8,arkinsjt,arkinsjt,5849,Kyler Murray,QB,MIN,29.1,bench,1593,786,135,81
8,arkinsjt,arkinsjt,1466,Travis Kelce,TE,KC,36.9,starter,1451,1425,145,7
8,arkinsjt,arkinsjt,11603,AJ Barner,TE,SEA,24.3,bench,1378,133,158,42
8,arkinsjt,arkinsjt,12474,Woody Marks,RB,HOU,25.7,bench,1328,216,166,-49
8,arkinsjt,arkinsjt,4035,Alvin Kamara,RB,NO,31.1,bench,1245,162,178,31
8,arkinsjt,arkinsjt,11625,Adonai Mitchell,WR,NYJ,23.9,bench,1147,0,190,-17
8,arkinsjt,arkinsjt,7049,Jauan Jennings,WR,MIN,29.1,bench,1042,108,195,-80
8,arkinsjt,arkinsjt,12498,Mason Taylor,TE,NYJ,22.3,bench,732,0,223,-134
8,arkinsjt,arkinsjt,1373,Geno Smith,QB,NYJ,35.9,bench,722,42,227,-88
8,arkinsjt,arkinsjt,11575,Ray Davis,RB,BUF,26.8,bench,629,0,239,-259
8,arkinsjt,arkinsjt,4039,Cooper Kupp,WR,SEA,33.2,bench,568,0,244,-93
8,arkinsjt,arkinsjt,12540,Chimere Dike,WR,TEN,24.7,taxi,551,0,248,-315
8,arkinsjt,arkinsjt,13324,Matt Hibner,TE,BAL,24.5,drafted,357,0,273,105
8,arkinsjt,arkinsjt,12531,Trevor Etienne,RB,CAR,22.1,bench,237,0,288,-198
8,arkinsjt,arkinsjt,5995,Justice Hill,RB,BAL,28.8,bench,236,0,290,-109
8,arkinsjt,arkinsjt,9501,DeMario Douglas,WR,NE,25.7,bench,228,0,292,65
8,arkinsjt,arkinsjt,11651,Isaac Guerendo,RB,SF,26.2,IR,94,0,340,-6
8,arkinsjt,arkinsjt,12711,Tyler Loop,K,BAL,25,starter,0,0,,0
8,arkinsjt,arkinsjt,CHI,Chicago Bears,DEF,CHI,,starter,0,0,,0
9,Max’s Shadynasty,maxjabb,7564,Ja'Marr Chase,WR,CIN,26.5,starter,9528,9424,3,-269
9,Max’s Shadynasty,maxjabb,12512,Quinshon Judkins,RB,CLE,22.8,starter,3967,3055,34,-93
9,Max’s Shadynasty,maxjabb,8146,Garrett Wilson,WR,NYJ,26.1,starter,3954,3242,36,-38
9,Max’s Shadynasty,maxjabb,11566,Jayden Daniels,QB,WAS,25.7,starter,3588,2825,43,-279
9,Max’s Shadynasty,maxjabb,12529,TreVeyon Henderson,RB,NE,23.8,starter,3549,2979,46,-470
9,Max’s Shadynasty,maxjabb,7543,Travis Etienne,RB,NO,27.6,starter,2945,3120,62,-203
9,Max’s Shadynasty,maxjabb,12490,Bhayshul Tuten,RB,JAX,23.5,starter,2745,2489,69,254
9,Max’s Shadynasty,maxjabb,7523,Trevor Lawrence,QB,JAX,26.9,bench,2744,2177,70,65
9,Max’s Shadynasty,maxjabb,2216,Mike Evans,WR,SF,33.0,starter,1745,2333,114,-156
9,Max’s Shadynasty,maxjabb,8110,Jake Ferguson,TE,DAL,27.6,starter,1632,919,129,-42
9,Max’s Shadynasty,maxjabb,12493,Oronde Gadsden,TE,LAC,23.2,bench,1518,267,141,-219
9,Max’s Shadynasty,maxjabb,8134,Khalil Shakir,WR,BUF,26.6,bench,1408,405,151,115
9,Max’s Shadynasty,maxjabb,5947,Jakobi Meyers,WR,JAX,29.8,bench,1341,519,163,-124
9,Max’s Shadynasty,maxjabb,10213,Tre Tucker,WR,LV,25.5,bench,1125,70,194,96
9,Max’s Shadynasty,maxjabb,12497,Tory Horton,WR,SEA,23.7,bench,857,0,205,-245
